"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 168 ",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,10,0
"otu 169 ",9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"otu 170 ",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 171 ",0,13,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"otu 172 ",0,0,0,0,0,0,0,0,9,5,0,0,7,0,0,0,0,0,8,0
"otu 173 ",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0
"otu 174 ",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,9,0,0
"otu 175 ",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,9,0
"otu 176 ",0,0,0,0,0,0,0,0,12,7,6,0,0,0,0,0,0,0,0,0
"otu 177 ",5,0,3,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0
"otu 178 ",4,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0
"otu 179 ",0,0,0,0,0,0,0,0,5,9,9,0,0,0,0,0,0,0,0,0
"otu 180 ",10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"otu 181 ",6,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0
"otu 182 ",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"otu 183 ",0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,0,0,0,0,0
"otu 184 ",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"otu 185 ",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0
"otu 186 ",3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0
"otu 187 ",0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,5,0
"otu 188 ",0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0
"otu 189 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"otu 190 ",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"otu 191 ",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0
"otu 192 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"otu 193 ",10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 194 ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0
"otu 195 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"otu 196 ",0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
"otu 197 ",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 198 ",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0
"otu 199 ",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"otu 200 ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0
"otu 201 ",6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 202 ",0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu 203 ",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"otu 204 ",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 205 ",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 206 ",0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,4,0
"otu 207 ",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0
"otu 208 ",0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"otu 209 ",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 210 ",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 211 ",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"otu 212 ",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0
"otu 213 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"otu 214 ",0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"otu 215 ",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"otu 216 ",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 217 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"otu 218 ",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"otu 219 ",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"otu 220 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"otu 221 ",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"otu 222 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"otu 223 ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 224 ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 225 ",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"otu 226 ",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"otu 227 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"otu 228 ",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"otu 229 ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
